Model,mAP@0.5,mAP@0.5:0.95,Precision,Recall,Best Epoch,Params (M),FLOPs (G),FPS,Latency (ms),TP,FP,FN,CLS_ERR
YOLOv8s,0.8212,0.527,0.9007,0.7619,96,11.14,28.7,142.9,7.0,326,44,62,2
YOLOv8s + Bi-FPN,0.8148,0.5208,0.8913,0.7692,95,7.18,22.8,133.9,7.47,328,61,59,3
YOLOv8s + CBAM,0.8146,0.5219,0.8932,0.765,91,11.4,28.9,153.2,6.53,326,34,59,5
YOLOv8s + P2,0.8226,0.5384,0.8629,0.7793,71,7.41,34.4,122.9,8.14,335,58,51,4
YOLOv8s + P2 + Bi-FPN + Dysample,0.7987,0.4938,0.8691,0.7288,54,2.25,23.8,119.3,8.38,323,83,61,6
YOLOv8s + P2 v2,0.8537,0.5521,0.887,0.7692,41,3.31,30.1,134.9,7.41,337,66,48,5
YOLOv8s + Weighted Concat,0.8297,0.5346,0.9014,0.7727,79,11.14,28.7,143.7,6.96,331,46,56,3
YOLOv8s + Weighted Concat + Dysample,0.8211,0.5272,0.9095,0.767,84,11.16,28.7,118.7,8.43,326,51,61,3
YOLOv8s + WIoU,0.7601,0.5048,0.8531,0.6729,100,11.14,28.7,153.7,6.51,315,104,61,14
YOLOv8s + Wise-Inner-MPDIoU,0.8229,0.5298,0.9247,0.7468,86,11.16,28.7,127.0,7.87,321,44,65,4
